         1070383 function calls (1039921 primitive calls) in 7.628 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    44758    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    42054    0.008    0.000    0.012    0.000 {built-in method builtins.isinstance}
    38246    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
    31599    0.012    0.000    0.026    0.000 {built-in method builtins.getattr}
    29289    0.004    0.000    0.004    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:816(get_animated)
29277/23050    0.018    0.000    0.027    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:289(stale)
    23163    0.054    0.000    0.054    0.000 {built-in method _codecs.utf_8_decode}
    23163    0.038    0.000    0.092    0.000 /usr/lib/python3.10/codecs.py:319(decode)
    23163    0.005    0.000    0.005    0.000 /usr/lib/python3.10/codecs.py:331(getstate)
    21198    0.003    0.000    0.003    0.000 {built-in method builtins.id}
20250/18445    0.020    0.000    0.141    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    17793    0.003    0.000    0.003    0.000 {function RcParams.__getitem__ at 0x7ff27b3d70a0}
    17750    0.018    0.000    0.021    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/__init__.py:658(__getitem__)
    17293    0.036    0.000    0.036    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    12838    0.002    0.000    0.002    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/artist.py:265(axes)
12308/204    0.018    0.000    0.043    0.000 /usr/lib/python3.10/copy.py:128(deepcopy)
    12107    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    11060    0.780    0.000    0.780    0.000 {built-in method builtins.max}
    10359    0.005    0.000    0.005    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
    10359    0.013    0.000    0.040    0.000 /home/speersm/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     9520    0.006    0.000    0.006    0.000 /usr/lib/python3.10/copy.py:182(_deepcopy_atomic)
9061/9005    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     8987    0.006    0.000    0.007    0.000 /home/speersm/.local/lib/python3.10/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
